Products,Pack size,Use by/best before dates,Update
By Sainsbury?s Ham and Egg Salad, 240g,9th-14th August 2017,2017-08-10
By Sainsbury?s Potato and Egg Salad,300g,9th-14th August 2017,2017-08-10
Morrison?s Potato and Egg Salad,250g ,Use by up to 13th August 2017,2017-08-10
Morrisons Egg and Cress Sandwich,Sold in Morrisons Caf? only,Use by up to and including 11th August 2017,2017-08-10
Morrisons Cafe Sandwich Selection,Sold in Morrisons Caf? only,Use by up to and including 11th August 2017,2017-08-10
Waitrose Free Range Egg Mayonnaise Deli Filler,240g,Use by 13 & 16th August,2017-08-10
Waitrose Free Range Reduced Fat Egg Mayonnaise Deli Filler,170g,Use by 14 August 2017,2017-08-10
Waitrose Free Range Egg and Bacon Deli Filler,170g,Use by 14 & 16th August 2017,2017-08-10
Asda Baby potato and free range egg salad,270g,"Use by 9th, 10th, 11th, 12th, 13th, and 14th Aug",2017-08-10
Asda Spinach and free range egg snackpot,110g,"Use by 9th, 10th, 11th, 12th, 13th Aug",2017-08-10
Asda FTG Ham and Cheddarploughman?s salad bowl,320g,"Use by 9th, 10th, 11th, 12th and 13th Aug",2017-08-10
"Henrysons Foods International Ltd Cocovite Egg White, Lot 254",,BBE: 14/09/2017,2017-08-17
"Henrysons Foods International Ltd Cocovite Carton Whole Eggs, Lot 255",1kg,BBE: 15/09/2017,2017-08-17
"Henrysons Foods International Ltd Cocovite Egg Yolk, Lot 285",1kg,BBE: 06/10/2017,2017-08-17
"Foodspeed Cocovite Liquid Egg Yolk cartons, Lot 291",2kg,Use by: 21/08/2017,2017-08-17
"Foodspeed Cocovite Liquid Whole Egg cartons, Lot 283",10kg,Use by: 04/10/2017,2017-08-17
"Foodspeed Cocovite Liquid Whole Egg cartons, Lot 285",1kg,Use by: 18/08/2017,2017-08-17
"Foodspeed Cocovite Liquid Egg Yolk cartons, Lot 292",1kg,Use by: 10/10/2017,2017-08-17
"Foodspeed Cocovite Liquid Egg White cartons, Lot 275",1kg,Use by: 29/09/2017,2017-08-17
"Foodspeed Cocovite Liquid Egg White cartons, Lot 264",1kg,Use by: 21/09/2017,2017-08-17
